repo_name,stargazers_count,forks_count
freeCodeCamp/freeCodeCamp,429553,41864
codecrafters-io/build-your-own-x,423790,39739
sindresorhus/awesome,404088,31758
EbookFoundation/free-programming-books,371217,64437
public-apis/public-apis,367160,38648
kamranahmedse/developer-roadmap,339259,43011
jwasham/coding-interview-university,330495,80805
donnemartin/system-design-primer,321754,52534
996icu/996.ICU,274451,21043
vinta/awesome-python,262339,26372
awesome-selfhosted/awesome-selfhosted,250251,11575
practical-tutorials/project-based-learning,245305,32073
facebook/react,239402,49456
TheAlgorithms/Python,209746,48299
vuejs/vue,209521,33790
torvalds/linux,203835,57993
ossu/computer-science,194609,24264
trekhleb/javascript-algorithms,193448,30899
tensorflow/tensorflow,191887,74894
trimstray/the-book-of-secret-knowledge,188273,11630
getify/You-Dont-Know-JS,183434,33668
CyC2018/CS-Notes,182408,51253
ohmyzsh/ohmyzsh,181774,26246
Significant-Gravitas/AutoGPT,178799,45996
microsoft/vscode,177153,35297
twbs/bootstrap,173495,79165
flutter/flutter,173201,29279
jackfrued/Python-100-Days,172893,54660
github/gitignore,169777,83008
jlevy/the-art-of-command-line,158366,14758
AUTOMATIC1111/stable-diffusion-webui,157034,29137
avelino/awesome-go,153669,12603
ollama/ollama,153397,13306
Snailclimb/JavaGuide,151974,45995
massgravel/Microsoft-Activation-Scripts,150617,14572
huggingface/transformers,150539,30600
airbnb/javascript,147508,26784
n8n-io/n8n,144133,45780
ytdl-org/youtube-dl,138240,10510
f/awesome-chatgpt-prompts,134851,17935
vercel/next.js,134795,29443
yangshun/tech-interview-handbook,130860,15877
golang/go,130096,18419
521xueweihan/HelloGitHub,129645,10758
labuladong/fucking-algorithm,129454,23448
yt-dlp/yt-dlp,129270,10355
Genymobile/scrcpy,129209,12111
langflow-ai/langflow,126211,7710
Chalarangelo/30-seconds-of-code,125398,12333
microsoft/PowerToys,124049,7384
facebook/react-native,124007,24853
electron/electron,118523,16469
kubernetes/kubernetes,117789,41464
krahets/hello-algo,117426,14460
langchain-ai/langchain,116535,19165
langgenius/dify,115622,17824
justjavac/free-programming-books-zh_CN,115341,28358
nodejs/node,113525,33321
ripienaar/free-for-dev,112949,11581
d3/d3,111574,22845
open-webui/open-webui,111422,15362
mrdoob/three.js,108812,36025
excalidraw/excalidraw,107837,10984
axios/axios,107804,11237
rust-lang/rust,106860,13796
microsoft/TypeScript,106240,13018
denoland/deno,104545,5724
goldbergyoni/nodebestpractices,104185,10603
facebook/create-react-app,103743,27136
GrowingGit/GitHub-Chinese-Top-Charts,102748,13321
DigitalPlatDev/FreeDomain,102239,1915
godotengine/godot,101716,23326
microsoft/terminal,100406,8798
microsoft/generative-ai-for-beginners,99562,52458
deepseek-ai/DeepSeek-V3,99531,16254
fatedier/frp,99211,14504
rustdesk/rustdesk,99153,14579
angular/angular,98995,26647
papers-we-love/papers-we-love,98773,6119
Hack-with-Github/Awesome-Hacking,98485,9586
iptv-org/iptv,97509,4060
tauri-apps/tauri,97022,3080
mui/material-ui,96716,32681
ant-design/ant-design,96253,53687
shadcn-ui/ui,95756,6815
Anduin2017/HowToCook,94471,10602
nvbn/thefuck,94214,3770
ryanmcdermott/clean-code-javascript,93878,12487
pytorch/pytorch,93651,25465
neovim/neovim,93158,6347
mtdvio/every-programmer-should-know,93039,8385
iluwatar/java-design-patterns,92815,27195
puppeteer/puppeteer,92515,9295
microsoft/Web-Dev-For-Beginners,92153,14172
deepseek-ai/DeepSeek-R1,91228,11752
tailwindlabs/tailwindcss,90415,4740
fastapi/fastapi,90292,7990
PanJiaChen/vue-element-admin,89930,30653
comfyanonymous/ComfyUI,89828,10040
supabase/supabase,89398,10025
x1xhlol/system-prompts-and-models-of-ai-tools,89290,24360
jaywcjlove/awesome-mac,89058,6765
openai/whisper,88900,11072
storybookjs/storybook,87868,9699
2dust/v2rayN,87504,13392
nvm-sh/nvm,87256,9374
ggml-org/llama.cpp,87147,13202
florinpop17/app-ideas,86277,9895
gin-gonic/gin,86150,8428
ChatGPTNextWeb/NextChat,85996,60960
bitcoin/bitcoin,85807,37928
django/django,85301,33033
opencv/opencv,84335,56313
sveltejs/svelte,84283,4637
gohugoio/hugo,83928,8041
mermaid-js/mermaid,83240,8133
gothinkster/realworld,82386,7512
laravel/laravel,82308,24505
animate-css/animate.css,82293,16159
macrozheng/mall,81727,29480
home-assistant/core,81707,35338
3b1b/manim,80927,6885
oven-sh/bun,80666,3349
microsoft/markitdown,80380,4441
tonsky/FiraCode,80230,3175
bregman-arie/devops-exercises,78965,17822
spring-projects/spring-boot,78581,41540
doocs/advanced-java,78316,19263
immich-app/immich,78206,4135
MunGell/awesome-for-beginners,78180,7467
microsoft/ML-For-Beginners,77795,17729
microsoft/playwright,77741,4642
google-gemini/gemini-cli,77693,8399
tensorflow/models,77645,45463
DopplerHQ/awesome-interview-questions,77475,9177
ByteByteGoHq/system-design-101,77211,8346
nomic-ai/gpt4all,76748,8277
syncthing/syncthing,76531,4782
clash-verge-rev/clash-verge-rev,76509,5737
MisterBooo/LeetCodeAnimation,76473,14019
fighting41love/funNLP,76340,15012
anuraghazra/github-readme-stats,76287,26438
ruanyf/weekly,76274,3644
netdata/netdata,76267,6184
FortAwesome/Font-Awesome,75705,12215
louislam/uptime-kuma,75566,6700
vitejs/vite,75559,7282
typicode/json-server,75116,7228
elastic/elasticsearch,74919,25523
hoppscotch/hoppscotch,74781,5233
unionlabs/union,74636,3837
rasbt/LLMs-from-scratch,74137,10789
junegunn/fzf,74106,2591
coder/code-server,74069,6244
sdmg15/Best-websites-a-programmer-should-visit,73961,8411
hacksider/Deep-Live-Cam,73678,10717
vuejs/awesome-vue,73291,9478
nestjs/nest,72878,8030
d2l-ai/d2l-zh,72764,11901
punkpeye/awesome-mcp-servers,71770,5942
CompVis/stable-diffusion,71548,10509
thedaviddias/Front-End-Checklist,71445,6584
redis/redis,71066,24257
Shubhamsaboo/awesome-llm-apps,71007,9096
ventoy/Ventoy,70983,4503
abi/screenshot-to-code,70947,8794
moby/moby,70840,18819
browser-use/browser-use,70740,8305
pallets/flask,70484,16552
swisskyrepo/PayloadsAllTheThings,70331,15994
grafana/grafana,70166,13007
enaqx/awesome-react,70132,7431
tesseract-ocr/tesseract,70009,10252
josephmisiti/awesome-machine-learning,69982,15088
Developer-Y/cs-video-courses,69953,9400
strapi/strapi,69783,9014
hakimel/reveal.js,69640,16756
modelcontextprotocol/servers,69358,8210
binary-husky/gpt_academic,69282,8367
protocolbuffers/protobuf,69227,15889
sherlock-project/sherlock,69134,8043
python/cpython,69109,32984
swiftlang/swift,69097,10557
Alvin9999/new-pac,68919,10388
astral-sh/uv,68849,2068
base/node,68532,2804
ocornut/imgui,68527,11230
awesomedata/awesome-public-datasets,68497,10701
apache/superset,68334,15891
localsend/localsend,68274,3658
openai/openai-cookbook,68193,11377
Stirling-Tools/Stirling-PDF,68096,5769
expressjs/express,67783,20978
PKUFlyingPig/cs-self-learning,67741,7622
twitter/the-algorithm,67351,12586
obsproject/obs-studio,67208,8708
caddyserver/caddy,67048,4498
fffaraz/awesome-cpp,66762,8113
ansible/ansible,66627,24111
chartjs/Chart.js,66600,11971
